Main_Tag,Page,Symm_Diff
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""viewPendingApprovelTimesheet?timesheetId=116&amp;employeeId=155&amp;timesheetStartday=2019-07-01"" id=""viewSubmitted"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""viewPendingApprovelTimesheet?timesheetId=118&amp;employeeId=156&amp;timesheetStartday=2019-07-01"" id=""viewSubmitted"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""viewPendingApprovelTimesheet?timesheetId=123&amp;employeeId=160&amp;timesheetStartday=2019-05-06"" id=""viewSubmitted"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""viewPendingApprovelTimesheet?timesheetId=125&amp;employeeId=161&amp;timesheetStartday=2019-05-13"" id=""viewSubmitted"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""0c6265958cf719f8683b24a4febfd4d6"" />",_time_viewEmployeeTimesheet,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""bfe248b218b4587a32d4802650eab711"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""employeeId"" type=""hidden"" value=""155"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""employeeId"" type=""hidden"" value=""156"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""employeeId"" type=""hidden"" value=""160"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""employeeId"" type=""hidden"" value=""161"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""timesheetId"" type=""hidden"" value=""116"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""timesheetId"" type=""hidden"" value=""118"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""timesheetId"" type=""hidden"" value=""123"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" name=""timesheetId"" type=""hidden"" value=""125"" />",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" align=""center"" class=""116##155##2019-07-01"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" align=""center"" class=""118##156##2019-07-01"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" align=""center"" class=""123##160##2019-05-06"">",_time_viewEmployeeTimesheet,curr_minus_hist
"<html:td xmlns:html=""http://www.w3.org/1999/xhtml"" align=""center"" class=""125##161##2019-05-13"">",_time_viewEmployeeTimesheet,curr_minus_hist
