Main_Tag,Page,Symm_Diff
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""addProjectActivity__csrf_token"" name=""addProjectActivity[_csrf_token]"" type=""hidden"" value=""6e0b19038c203b22757d2b29f8f70c2c"" />",_admin_saveProject_projectId_1,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""addProjectActivity__csrf_token"" name=""addProjectActivity[_csrf_token]"" type=""hidden"" value=""88a8902bae83e339c2a2039cad357424"" />",_admin_saveProject_projectId_1,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""addProject__csrf_token"" name=""addProject[_csrf_token]"" type=""hidden"" value=""55f286a75398ffa92889aed48d7e5266"" />",_admin_saveProject_projectId_1,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""addProject__csrf_token"" name=""addProject[_csrf_token]"" type=""hidden"" value=""77dbe7025b6c5abab63696b8344ad4f4"" />",_admin_saveProject_projectId_1,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""copyActivity__csrf_token"" name=""copyActivity[_csrf_token]"" type=""hidden"" value=""40143e4c7d31fc0d3e2f413532ed804c"" />",_admin_saveProject_projectId_1,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""copyActivity__csrf_token"" name=""copyActivity[_csrf_token]"" type=""hidden"" value=""74832713cc2ca82de9604901b6a006ac"" />",_admin_saveProject_projectId_1,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""defaultList__csrf_token"" name=""defaultList[_csrf_token]"" type=""hidden"" value=""69e56e90a1b4fa64ee918d3006c9c018"" />",_admin_saveProject_projectId_1,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""defaultList__csrf_token"" name=""defaultList[_csrf_token]"" type=""hidden"" value=""d24c66f266719b8dd77d1ff317a22388"" />",_admin_saveProject_projectId_1,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""b8325caec62dfe7c4c3d79de37ed28e6"" />",_admin_saveProject_projectId_1,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""f9733a4ac953d3063c791faa65aeb99c"" />",_admin_saveProject_projectId_1,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""undeleteCustomer__csrf_token"" name=""undeleteCustomer[_csrf_token]"" type=""hidden"" value=""4aacf36f29c8ce7e4aa2d6e73c264225"" />",_admin_saveProject_projectId_1,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""undeleteCustomer__csrf_token"" name=""undeleteCustomer[_csrf_token]"" type=""hidden"" value=""f28dc126be208cd6a2959395c8215c0c"" />",_admin_saveProject_projectId_1,curr_minus_hist
