Main_Tag,Page,Symm_Diff
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""saveProject?projectId=1"">",_admin_viewProjects,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" href=""saveProject?projectId=3"">",_admin_viewProjects,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" autocomplete=""off"" class=""ac_input"" id=""searchProject_customer"" name=""searchProject[customer]"" type=""text"" value=""FCBSIX"" />",_admin_viewProjects,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" autocomplete=""off"" class=""ac_input"" id=""searchProject_customer"" name=""searchProject[customer]"" type=""text"" value=""redhat6"" />",_admin_viewProjects,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" autocomplete=""off"" class=""ac_input"" id=""searchProject_project"" name=""searchProject[project]"" type=""text"" value=""Automation Testing"" />",_admin_viewProjects,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" autocomplete=""off"" class=""ac_input"" id=""searchProject_project"" name=""searchProject[project]"" type=""text"" value=""auto6"" />",_admin_viewProjects,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""defaultList__csrf_token"" name=""defaultList[_csrf_token]"" type=""hidden"" value=""69e56e90a1b4fa64ee918d3006c9c018"" />",_admin_viewProjects,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""defaultList__csrf_token"" name=""defaultList[_csrf_token]"" type=""hidden"" value=""9c4f6930372abbf04daedd8b036fcdbf"" />",_admin_viewProjects,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""ohrmList_chkSelectRecord_1"" name=""chkSelectRow[]"" type=""checkbox"" value=""1"" />",_admin_viewProjects,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""ohrmList_chkSelectRecord_3"" name=""chkSelectRow[]"" type=""checkbox"" value=""3"" />",_admin_viewProjects,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""searchProject__csrf_token"" name=""searchProject[_csrf_token]"" type=""hidden"" value=""30b790b6cfd3db716f632c6c2d7100c4"" />",_admin_viewProjects,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""searchProject__csrf_token"" name=""searchProject[_csrf_token]"" type=""hidden"" value=""9052ec5cb149ba6ff247931aef0f657b"" />",_admin_viewProjects,hist_minus_curr
