Main_Tag,Page,Symm_Diff
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""panelTrigger activated-welcome"" href=""#"" id=""welcome"">",_attendance_punchIn,hist_minus_curr
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""panelTrigger"" href=""#"" id=""welcome"">",_attendance_punchIn,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""message success fadable"" style=""opacity: 0.759014;"">",_attendance_punchIn,hist_minus_curr
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""message success fadable"">",_attendance_punchIn,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""panelContainer"" id=""welcome-menu"" style=""display: block;"">",_attendance_punchIn,hist_minus_curr
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""panelContainer"" id=""welcome-menu"">",_attendance_punchIn,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" class=""time"" name=""time"" type=""hidden"" value=""12:00"" />",_attendance_punchIn,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" class=""time"" name=""time"" type=""hidden"" value=""12:07"" />",_attendance_punchIn,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""attendance__csrf_token"" name=""attendance[_csrf_token]"" type=""hidden"" value=""109703b4e5c064abfd2690492851c76d"" />",_attendance_punchIn,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""attendance__csrf_token"" name=""attendance[_csrf_token]"" type=""hidden"" value=""2749bb00fcd58fe609c55bdea692c763"" />",_attendance_punchIn,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""attendance__csrf_token"" name=""attendance[_csrf_token]"" type=""hidden"" value=""5cc2a265919f0b451efea672ed9b8464"" />",_attendance_punchIn,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""attendance__csrf_token"" name=""attendance[_csrf_token]"" type=""hidden"" value=""5d8e474d7a1c202b8a099d6eb87291b1"" />",_attendance_punchIn,hist_minus_curr
