Main_Tag,Page,Symm_Diff
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-next ui-corner-all"" onclick=""DP_jQuery_1565971577370.datepicker._adjustDate(\'#time_date\', +1, \'M\');"" title=""Next"">",_time_viewMyTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-prev ui-corner-all"" onclick=""DP_jQuery_1565971577370.datepicker._adjustDate(\'#time_date\', -1, \'M\');"" title=""Prev"">",_time_viewMyTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-state-default ui-state-active ui-state-hover"" href=""#"">",_time_viewMyTimesheet,curr_minus_hist
"<html:a xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-state-default"" href=""#"">",_time_viewMyTimesheet,curr_minus_hist
"<html:body xmlns:html=""http://www.w3.org/1999/xhtml"" class="""">",_time_viewMyTimesheet,curr_minus_hist
"<html:body xmlns:html=""http://www.w3.org/1999/xhtml"">",_time_viewMyTimesheet,hist_minus_curr
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""modal hide"" id=""createTimesheet"" style=""display: none;"">",_time_viewMyTimesheet,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""modal hide"" id=""createTimesheet"">",_time_viewMyTimesheet,hist_minus_curr
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker ui-widget ui-widget-content ui-helper-clearfix ui-corner-all"" id=""ui-datepicker-div"" />",_time_viewMyTimesheet,hist_minus_curr
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker ui-widget ui-widget-content ui-helper-clearfix ui-corner-all"" id=""ui-datepicker-div"" style=""position: fixed; top: 143.5px; left: 602.297px; z-index: 10000; display: block; opacity: 0.109785;"">",_time_viewMyTimesheet,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-header ui-widget-header ui-helper-clearfix ui-corner-all"">",_time_viewMyTimesheet,curr_minus_hist
"<html:div xmlns:html=""http://www.w3.org/1999/xhtml"" class=""ui-datepicker-title"">",_time_viewMyTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" class="""" data-dismiss=""modal"" id=""addTimesheetBtn"" type=""button"" value=""Ok"" />",_time_viewMyTimesheet,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" class=""hover"" data-dismiss=""modal"" id=""addTimesheetBtn"" type=""button"" value=""Ok"" />",_time_viewMyTimesheet,curr_minus_hist
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""d3055f1829a69c69c67410dba7ef9428"" />",_time_viewMyTimesheet,hist_minus_curr
"<html:input xmlns:html=""http://www.w3.org/1999/xhtml"" id=""time__csrf_token"" name=""time[_csrf_token]"" type=""hidden"" value=""f7e5b9bcc3d7cd9d605388da2516197f"" />",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" selected=""selected"" value=""0"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" selected=""selected"" value=""2019"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" selected=""selected"" value=""4"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""10"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""11"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1919"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1920"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1921"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1922"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1923"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1924"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1925"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1926"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1927"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1928"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1929"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1930"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1931"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1932"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1933"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1934"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1935"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1936"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1937"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1938"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1939"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1940"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1941"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1942"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1943"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1944"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1945"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1946"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1947"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1948"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1949"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1950"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1951"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1952"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1953"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1954"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1955"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1956"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1957"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1958"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1959"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1960"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1961"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1962"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1963"">",_time_viewMyTimesheet,curr_minus_hist
"<html:option xmlns:html=""http://www.w3.org/1999/xhtml"" value=""1964"">",_time_viewMyTimesheet,curr_minus_hist
