,Parent_Count,Char_Count,Main_Tag,Main_Tag_Char_Count,Main_Tag_Name,Main_Tag_Attributes,Tag_Count_html:label,Tag_Count_html:body,Tag_Count_html:link,Tag_Count_path,Tag_Count_html:ol,Tag_Count_html:a,Tag_Count_html:p,Tag_Count_html:b,Tag_Count_html:td,Tag_Count_html:li,Tag_Count_html:input,Tag_Count_html:table,Tag_Count_animatetransform,Tag_Count_html:head,Tag_Count_html:meta,Tag_Count_html:html,Tag_Count_html:div,Tag_Count_html:em,Tag_Count_html:tr,Tag_Count_html:br,Tag_Count_html:ul,Tag_Count_html:form,Tag_Count_html:tbody,Tag_Count_html:title,Tag_Count_html:script,Tag_Count_html:img,Tag_Count_html:style,Tag_Count_svg,Tag_Count_html:fieldset,Tag_Count_html:th,Tag_Count_html:h1,Tag_Count_html:thead,Tag_Count_html:h3,Attr_lang,Attr_content,Attr_href,Attr_rel,Attr_type,Attr_src,Attr_media,Attr_id,Attr_target,Attr_alt,Attr_height,Attr_width,Attr_class,Attr_value,Attr_action,Attr_enctype,Attr_method,Attr_name,Attr_language,Attr_title,Attr_style,Attr_version,Attr_viewbox,Attr_x,Attr_y,Attr_d,Attr_fill,Attr_attributename,Attr_attributetype,Attr_dur,Attr_from,Attr_repeatcount,Attr_to,Attr_onclick,Attr_for,Attr_maxlength
0,0,29553,"<html:html xmlns:html=""http://www.w3.org/1999/xhtml"" xmlns:ns1=""http://www.w3.org/2000/svg"" lang=""en"" xml:lang=""en"">",116,html:html,"['lang=""en""']",1,1,7,1,1,66,7,9,4,69,14,1,1,1,1,1,24,2,3,1,21,3,1,1,19,1,1,1,2,2,2,1,2,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3183,"<html:head xmlns:html=""http://www.w3.org/1999/xhtml"">",53,html:head,[],0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,78,"<html:title xmlns:html=""http://www.w3.org/1999/xhtml"">",54,html:title,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,118,"<html:meta xmlns:html=""http://www.w3.org/1999/xhtml"" content=""text/html; charset=utf-8"" http-equiv=""Content-Type"" />",116,html:meta,"['content=""text/html; charset=utf-8""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,text/html; charset=utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,180,"<html:link xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/images/favicon.ico"" rel=""shortcut icon"" />",176,html:link,"['href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/images/favicon.ico""', 'rel=""shortcut icon""']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/images/favicon.ico,shortcut icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,186,"<html:link xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/reset.css"" rel=""stylesheet"" type=""text/css"" />",184,html:link,"['href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/reset.css""', 'rel=""stylesheet""', 'type=""text/css""']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/reset.css,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,187,"<html:link xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/tipTip.css"" rel=""stylesheet"" type=""text/css"" />",185,html:link,"['href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/tipTip.css""', 'rel=""stylesheet""', 'type=""text/css""']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/tipTip.css,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,211,"<html:link xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/jquery/jquery-ui-1.8.21.custom.css"" rel=""stylesheet"" type=""text/css"" />",209,html:link,"['href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/jquery/jquery-ui-1.8.21.custom.css""', 'rel=""stylesheet""', 'type=""text/css""']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/jquery/jquery-ui-1.8.21.custom.css,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,209,"<html:link xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/jquery/jquery.autocomplete.css"" rel=""stylesheet"" type=""text/css"" />",205,html:link,"['href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/jquery/jquery.autocomplete.css""', 'rel=""stylesheet""', 'type=""text/css""']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/jquery/jquery.autocomplete.css,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,185,"<html:link xmlns:html=""http://www.w3.org/1999/xhtml"" href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/main.css"" rel=""stylesheet"" type=""text/css"" />",183,html:link,"['href=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/main.css""', 'rel=""stylesheet""', 'type=""text/css""']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/themes/default/css/main.css,stylesheet,text/css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,178,"<html:script xmlns:html=""http://www.w3.org/1999/xhtml"" src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery-1.7.2.min.js"" type=""text/javascript"" />",176,html:script,"['src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery-1.7.2.min.js""', 'type=""text/javascript""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,text/javascript,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery-1.7.2.min.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,186,"<html:script xmlns:html=""http://www.w3.org/1999/xhtml"" src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/validate/jquery.validate.js"" type=""text/javascript"" />",184,html:script,"['src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/validate/jquery.validate.js""', 'type=""text/javascript""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,text/javascript,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/validate/jquery.validate.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,176,"<html:script xmlns:html=""http://www.w3.org/1999/xhtml"" src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery.ui.core.js"" type=""text/javascript"" />",174,html:script,"['src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery.ui.core.js""', 'type=""text/javascript""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,text/javascript,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery.ui.core.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,181,"<html:script xmlns:html=""http://www.w3.org/1999/xhtml"" src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery.autocomplete.js"" type=""text/javascript"" />",179,html:script,"['src=""/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery.autocomplete.js""', 'type=""text/javascript""']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,text/javascript,/orangehrm-4.3.1/symfony/web/webres_5cc83b08d42f86.60948938/js/jquery/jquery.autocomplete.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
